NAME,TotalPop,White_NonHisp,Black,Asian,Hispanic,MedianIncome,BelowPoverty,BachelorsOrHigher,Male_Under18,Female_Under18,Male_18_34,Female_18_34,Male_35_64,Female_35_64,Male_65plus,Female_65plus,LaborForce,Unemployed,NoHealthInsurance,MedianRent,STATE,COUNTY,TRACT,TRACT_FIPS,Age_Under18,Age_18_34,Age_35_64,Age_65plus,Pct_Black,Pct_Hispanic,Pct_Asian,Pct_WhiteNonHisp,Pct_BelowPoverty,Pct_BachelorsPlus,Pct_Unemployed,Pct_Uninsured
Census Tract 6809; Cook County; Illinois,3307,62,3044,32,35,18333,1253,215,140,41,6,60,0,17,30,24,1393,460,120,991,17,31,680900,17031680900,181,66,17,54,92.04717266404596,1.058361052313275,0.9676443906864227,1.8748110069549442,37.88932567281524,6.501360749924403,33.022254127781764,3.6286664650740854
Census Tract 6810; Cook County; Illinois,2561,1,2068,43,285,27844,960,148,37,0,147,33,60,64,39,59,1088,270,0,1008,17,31,681000,17031681000,37,180,124,98,80.74970714564623,11.128465443186256,1.679031628270207,0.03904724716907458,37.4853572823116,5.778992581023038,24.816176470588236,0.0
Census Tract 6811; Cook County; Illinois,2105,3,1937,0,165,36083,582,166,83,66,0,26,53,86,62,63,812,81,0,1083,17,31,681100,17031681100,149,26,139,125,92.0190023752969,7.8384798099762465,0.0,0.14251781472684086,27.648456057007127,7.885985748218527,9.975369458128078,0.0
Census Tract 6812; Cook County; Illinois,2009,87,1756,0,0,23250,912,122,29,26,44,1,0,53,33,82,748,143,0,863,17,31,681200,17031681200,55,45,53,115,87.4066699850672,0.0,0.0,4.3305126928820314,45.39571926331508,6.072672971627675,19.11764705882353,0.0
Census Tract 6813; Cook County; Illinois,2103,6,2000,79,18,21888,782,126,56,59,65,36,92,79,0,44,804,170,0,1331,17,31,681300,17031681300,115,101,171,44,95.10223490252021,0.8559201141226819,3.7565382786495483,0.28530670470756064,37.1849738468854,5.991440798858773,21.144278606965177,0.0
Census Tract 6814; Cook County; Illinois,1826,3,1792,1,0,51835,146,194,0,107,0,57,49,71,0,52,862,87,0,1522,17,31,681400,17031681400,107,57,120,52,98.13800657174151,0.0,0.054764512595837894,0.16429353778751368,7.995618838992333,10.624315443592552,10.092807424593968,0.0
Census Tract 6903; Cook County; Illinois,1974,90,1842,0,40,34978,427,163,0,0,33,0,66,0,38,16,743,120,4,902,17,31,690300,17031690300,0,33,66,54,93.3130699088146,2.026342451874367,0.0,4.5592705167173255,21.631205673758867,8.257345491388044,16.1507402422611,0.2026342451874367
Census Tract 6904; Cook County; Illinois,3217,0,3118,96,0,46313,510,375,186,37,127,0,28,199,13,37,1731,282,0,1147,17,31,690400,17031690400,223,127,227,50,96.92259869443582,0.0,2.9841467205470935,0.0,15.853279452906435,11.656823127137084,16.291161178509533,0.0
Census Tract 6905; Cook County; Illinois,807,0,807,0,0,57841,202,8,33,9,41,25,0,0,0,11,435,113,0,1111,17,31,690500,17031690500,42,66,0,11,100.0,0.0,0.0,0.0,25.03097893432466,0.9913258983890955,25.97701149425287,0.0
Census Tract 6909; Cook County; Illinois,3891,77,3520,0,37,36927,1192,381,23,21,25,0,88,149,41,89,2015,347,11,1121,17,31,690900,17031690900,44,25,237,130,90.46517604728862,0.9509123618607042,0.0,1.9789257260344386,30.634798252377283,9.79182729375482,17.220843672456574,0.2827036751477769
Census Tract 6910; Cook County; Illinois,2400,32,2111,0,70,64361,593,472,0,145,48,0,34,57,0,59,1049,43,0,1224,17,31,691000,17031691000,145,48,91,59,87.95833333333334,2.9166666666666665,0.0,1.3333333333333335,24.708333333333332,19.666666666666664,4.0991420400381315,0.0
Census Tract 6911; Cook County; Illinois,3177,0,3168,0,2,55170,649,253,201,42,24,0,29,211,18,18,1530,94,27,898,17,31,691100,17031691100,243,24,240,36,99.71671388101983,0.06295247088448222,0.0,0.0,20.42807680201448,7.963487566887001,6.143790849673202,0.84985835694051
Census Tract 6912; Cook County; Illinois,2019,12,1975,0,12,34444,733,88,114,38,0,0,0,0,19,14,841,76,15,1057,17,31,691200,17031691200,152,0,0,33,97.82070331847449,0.5943536404160475,0.0,0.5943536404160475,36.30510153541357,4.358593363051015,9.036860879904875,0.7429420505200593
