NAME,TotalPop,White_NonHisp,Black,Asian,Hispanic,MedianIncome,BelowPoverty,BachelorsOrHigher,Male_Under18,Female_Under18,Male_18_34,Female_18_34,Male_35_64,Female_35_64,Male_65plus,Female_65plus,LaborForce,Unemployed,NoHealthInsurance,MedianRent,STATE,COUNTY,TRACT,TRACT_FIPS
Census Tract 7003.02; Cook County; Illinois,5626,1192,748,0,3568,86000,960,402,128,235,94,48,89,36,6,47,2439,225,16,1364,17,031,700302,17031700302
Census Tract 7004.01; Cook County; Illinois,6376,231,3470,23,2515,94313,859,463,108,147,116,75,279,131,78,126,3872,367,49,1203,17,031,700401,17031700401
Census Tract 7004.02; Cook County; Illinois,3453,192,2112,16,1080,98152,226,478,59,0,59,82,30,146,0,54,1747,98,0,-666666666,17,031,700402,17031700402
Census Tract 7005.01; Cook County; Illinois,6386,171,5840,182,132,64739,1661,1052,26,267,63,208,0,192,202,141,3111,362,0,1008,17,031,700501,17031700501
Census Tract 7005.02; Cook County; Illinois,3442,112,2863,0,438,97624,230,312,73,171,26,91,61,104,53,35,1560,137,172,1742,17,031,700502,17031700502
Census Tract 7101; Cook County; Illinois,800,0,781,6,13,28287,367,75,37,3,42,0,40,20,0,0,436,147,0,681,17,031,710100,17031710100
Census Tract 7102; Cook County; Illinois,4084,16,4068,0,0,30871,1502,221,240,54,0,52,0,55,119,88,1336,211,107,865,17,031,710200,17031710200
Census Tract 7103; Cook County; Illinois,1170,0,1118,11,41,54886,199,50,58,26,0,0,14,63,0,18,644,29,34,979,17,031,710300,17031710300
Census Tract 7104; Cook County; Illinois,5466,23,5124,53,191,43986,1936,573,451,131,28,37,73,38,51,101,2116,527,0,1168,17,031,710400,17031710400
Census Tract 7105; Cook County; Illinois,3753,7,3387,0,182,44973,1184,335,151,0,29,98,0,159,86,20,1595,266,53,1144,17,031,710500,17031710500
Census Tract 7106; Cook County; Illinois,1802,171,1537,0,67,42132,386,212,10,23,54,0,0,22,47,116,990,141,0,1112,17,031,710600,17031710600
Census Tract 7107; Cook County; Illinois,3492,15,3367,1,64,40938,1054,304,190,15,53,18,106,125,96,121,1534,348,0,1086,17,031,710700,17031710700
